#    L    TT             EE             BB             TE          
   361   0.224697E+04   0.194449E+02   0.388650E-01   0.728460E+02
   362   0.222592E+04   0.195647E+02   0.389868E-01   0.711627E+02
   363   0.220529E+04   0.196814E+02   0.391087E-01   0.694598E+02
   364   0.218507E+04   0.197951E+02   0.392307E-01   0.677380E+02
   365   0.216527E+04   0.199058E+02   0.393527E-01   0.659980E+02
   366   0.214589E+04   0.200132E+02   0.394748E-01   0.642407E+02
   367   0.212694E+04   0.201175E+02   0.395971E-01   0.624667E+02
   368   0.210842E+04   0.202185E+02   0.397194E-01   0.606770E+02
   369   0.209032E+04   0.203163E+02   0.398420E-01   0.588722E+02
   370   0.207266E+04   0.204106E+02   0.399647E-01   0.570531E+02
   371   0.205543E+04   0.205018E+02   0.400877E-01   0.552206E+02
   372   0.203864E+04   0.205893E+02   0.402109E-01   0.533752E+02
   373   0.202229E+04   0.206736E+02   0.403343E-01   0.515178E+02
   374   0.200637E+04   0.207543E+02   0.404580E-01   0.496492E+02
   375   0.199089E+04   0.208315E+02   0.405820E-01   0.477701E+02
   376   0.197585E+04   0.209052E+02   0.407062E-01   0.458812E+02
   377   0.196126E+04   0.209752E+02   0.408308E-01   0.439833E+02
   378   0.194710E+04   0.210416E+02   0.409558E-01   0.420771E+02
   379   0.193338E+04   0.211042E+02   0.410811E-01   0.401634E+02
   380   0.192012E+04   0.211631E+02   0.412068E-01   0.382429E+02
   381   0.190730E+04   0.212182E+02   0.413329E-01   0.363163E+02
   382   0.189492E+04   0.212694E+02   0.414594E-01   0.343845E+02
   383   0.188299E+04   0.213169E+02   0.415864E-01   0.324481E+02
   384   0.187151E+04   0.213605E+02   0.417138E-01   0.305081E+02
   385   0.186046E+04   0.214001E+02   0.418416E-01   0.285653E+02
   386   0.184986E+04   0.214360E+02   0.419700E-01   0.266206E+02
   387   0.183971E+04   0.214680E+02   0.420989E-01   0.246746E+02
   388   0.182999E+04   0.214962E+02   0.422283E-01   0.227284E+02
   389   0.182071E+04   0.215206E+02   0.423582E-01   0.207827E+02
   390   0.181186E+04   0.215410E+02   0.424887E-01   0.188383E+02
   391   0.180346E+04   0.215576E+02   0.426198E-01   0.168961E+02
   392   0.179549E+04   0.215702E+02   0.427515E-01   0.149567E+02
   393   0.178795E+04   0.215790E+02   0.428838E-01   0.130211E+02
