#    L    TT             EE             TE             PP             TP          
   294   0.428728E+04   0.800237E+01   0.116489E+03   0.176229E+07   0.113578E+04
   295   0.425393E+04   0.817348E+01   0.117053E+03   0.175551E+07   0.112581E+04
   296   0.422045E+04   0.834600E+01   0.117582E+03   0.174878E+07   0.111591E+04
   297   0.418684E+04   0.851977E+01   0.118073E+03   0.174209E+07   0.110607E+04
   298   0.415311E+04   0.869482E+01   0.118529E+03   0.173543E+07   0.109630E+04
   299   0.411928E+04   0.887105E+01   0.118947E+03   0.172882E+07   0.108658E+04
   300   0.408536E+04   0.904839E+01   0.119329E+03   0.172224E+07   0.107692E+04
   301   0.405135E+04   0.922693E+01   0.119673E+03   0.171570E+07   0.106733E+04
   302   0.401727E+04   0.940643E+01   0.119981E+03   0.170920E+07   0.105779E+04
   303   0.398314E+04   0.958697E+01   0.120251E+03   0.170274E+07   0.104831E+04
   304   0.394896E+04   0.976848E+01   0.120484E+03   0.169631E+07   0.103890E+04
   305   0.391476E+04   0.995087E+01   0.120680E+03   0.168992E+07   0.102954E+04
   306   0.388052E+04   0.101342E+02   0.120837E+03   0.168357E+07   0.102024E+04
   307   0.384628E+04   0.103182E+02   0.120957E+03   0.167725E+07   0.101101E+04
   308   0.381204E+04   0.105030E+02   0.121039E+03   0.167097E+07   0.100183E+04
   309   0.377780E+04   0.106884E+02   0.121083E+03   0.166472E+07   0.992718E+03
   310   0.374357E+04   0.108744E+02   0.121089E+03   0.165851E+07   0.983665E+03
   311   0.370938E+04   0.110610E+02   0.121056E+03   0.165234E+07   0.974673E+03
   312   0.367522E+04   0.112480E+02   0.120984E+03   0.164620E+07   0.965743E+03
   313   0.364112E+04   0.114354E+02   0.120875E+03   0.164009E+07   0.956874E+03
   314   0.360707E+04   0.116232E+02   0.120726E+03   0.163402E+07   0.948068E+03
   315   0.357308E+04   0.118112E+02   0.120539E+03   0.162798E+07   0.939323E+03
   316   0.353917E+04   0.119994E+02   0.120314E+03   0.162198E+07   0.930640E+03
   317   0.350536E+04   0.121878E+02   0.120050E+03   0.161601E+07   0.922020E+03
   318   0.347164E+04   0.123762E+02   0.119748E+03   0.161007E+07   0.913463E+03
   319   0.343803E+04   0.125646E+02   0.119408E+03   0.160417E+07   0.904968E+03
   320   0.340454E+04   0.127531E+02   0.119029E+03   0.159830E+07   0.896537E+03
